"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","242","Проверка ответа на вопрос #3","tests","Mon May 19 04:33:12 MSK 2025","passed","Mon May 19 04:33:13 MSK 2025","TestFAQ","Тесты FAQ","",""
"","283","Проверка ответа на вопрос #1","tests","Mon May 19 04:33:12 MSK 2025","passed","Mon May 19 04:33:12 MSK 2025","TestFAQ","Тесты FAQ","",""
"","250","Проверка ответа на вопрос #5","tests","Mon May 19 04:33:13 MSK 2025","passed","Mon May 19 04:33:13 MSK 2025","TestFAQ","Тесты FAQ","",""
"","5726","Создание заказа через top кнопку","tests","Mon May 19 04:33:26 MSK 2025","passed","Mon May 19 04:33:31 MSK 2025","TestOrderCreation","Тесты создания заказа","",""
"","4748","Создание заказа через bottom кнопку","tests","Mon May 19 04:33:31 MSK 2025","passed","Mon May 19 04:33:36 MSK 2025","TestOrderCreation","Тесты создания заказа","",""
"","247","Проверка ответа на вопрос #6","tests","Mon May 19 04:33:13 MSK 2025","passed","Mon May 19 04:33:13 MSK 2025","TestFAQ","Тесты FAQ","",""
"","250","Проверка ответа на вопрос #4","tests","Mon May 19 04:33:13 MSK 2025","passed","Mon May 19 04:33:13 MSK 2025","TestFAQ","Тесты FAQ","",""
"","266","Проверка ответа на вопрос #2","tests","Mon May 19 04:33:12 MSK 2025","passed","Mon May 19 04:33:12 MSK 2025","TestFAQ","Тесты FAQ","",""
"","393","Проверка ответа на вопрос #0","tests","Mon May 19 04:33:11 MSK 2025","passed","Mon May 19 04:33:12 MSK 2025","TestFAQ","Тесты FAQ","",""
"","242","Проверка ответа на вопрос #7","tests","Mon May 19 04:33:13 MSK 2025","passed","Mon May 19 04:33:14 MSK 2025","TestFAQ","Тесты FAQ","",""
